NAME,TIPOINSTIT,TIPOINSTI2,TIPOLOCALI,TIPOLOCAL2,TIPOUNIDAD,TIPOUNIDA0,TIPOTIPOLO,TIPOTIPOL0,TIPOSUBTIP,TIPOSUBTI0,TIPOENTIDA,TIPOENTID0,TIPOMUNICI,TIPOMUNIC0,TIPOJURISD,TIPOJURIS0,CLAVE,NUMCONSUL,NUMCAM,NOMBRE,DOMICILIO,ASENTAMIEN,COLONIA,NOINT,NOEXT,OBSDIREC,CODPOST,RESPONSABL,LADA,TELEFONO,EMAIL,FECHACONST,FECHAINICI,MARCA,MODELO,CAPACIDAD,TIPOUNID01,TIPOUNID02,TIPOCARAV,TIPOCARAV2,TIPOTIPO01,TIPOTIPO02,TIPOCONTRO,TIPOCONTR0,TIPOMOVUNI,TIPOMOVUN0,TIPOESTUNI,TIPOESTAUN,OBSERV,FECHAALTA,FECHAMOV,TIPONIVELA,TIPONIVEL0,TIPOACREDI,TIPOESTACR,TIPOESTAC0,TIPOUNI,TIPOUNI2,TIPOOBRA,TIPOOBRA2,LATITUD,LONGITUD,OID
JCSSA000503,SSA,SECRETARIA DE SALUD,1,ATOTONILCO EL ALTO,HO,UNIDAD DE HOSPITALIZACION,N,HOSPITAL INTEGRAL (COMUNITARIO),NES,NO ESPECIFICADO,14,JALISCO,13,ATOTONILCO EL ALTO,4,LA BARCA,JCSSA000503,11,16,HOSPITAL COMUNITARIO ATOTONILCO EL ALTO,AVENIDA SOUTH SAN FRANCISCO,,CENTRO,,159,AVENIDA SOUTH SAN FRANCISCO 159  COL. CENTRO,47750,DR. FRANCISCO JAVIER HERNANDEZ OROZCO,391,9170921  9174055,ortopediadrhdez@hotmail.com,12/01/1974 12:00:00 a.m.,12/01/1974 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,CAMBIO DEL RESPONSABLE DE LA UNIDAD Y CORREO,31/12/2005 12:00:00 a.m.,03/08/2011 12:00:00 a.m.,2,SEGUNDO NIVEL,1,1,ACREDITADA,2,URBANO,NES,NO ESPECIFICADO,20.5504,-102.508,1
JCSSA000515,SSA,SECRETARIA DE SALUD,1,ATOTONILCO EL ALTO,CE,UNIDAD DE CONSULTA EXTERNA,P,UNIDAD MOVIL,NES,NO ESPECIFICADO,14,JALISCO,13,ATOTONILCO EL ALTO,4,LA BARCA,JCSSA000515,1,0,MODULO ATOTONILCO,AVENIDA SOUTH SAN FRANCISCO,,CENTRO,,159,AVENIDA SOUTH SAN FRANCISCO 159  COL. CENTRO,47750,ENF. JAQUELINE VILLASE NOR GARCIA,391,9170921,anabetty_74@hotmail.com,,01/01/1997 12:00:00 a.m.,TORNADO,2005,700,4,OTRO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE QUEDO LA ABREVIACION DE COLONIA (COL.),31/12/2005 12:00:00 a.m.,02/04/2012 12:00:00 a.m.,1,PRIMER NIVEL,NES,NAP,NO APLICA,2,URBANO,NES,NO ESPECIFICADO,20.5504,-102.508,2
JCSSA000520,SSA,SECRETARIA DE SALUD,1,ATOTONILCO EL ALTO,CE,UNIDAD DE CONSULTA EXTERNA,P,UNIDAD MOVIL,NES,NO ESPECIFICADO,14,JALISCO,13,ATOTONILCO EL ALTO,4,LA BARCA,JCSSA000520,2,0,UNIDAD MOVIL ATOTONILCO II,AVENIDA SOUTH SAN FRANCISCO,,CENTRO,,159,AVENIDA SOUTH SAN FRANCISCO 159  COL. CENTRO,47750,DRA. CITLALI DEL CARMEN OROZCO TORRES,391,9170921,anabetty_74@hotmail.com,,01/03/2002 12:00:00 a.m.,TORNADO,2005,700,4,OTRO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE QUEDO LA ABREVIACION DE COLONIA (COL.),31/12/2005 12:00:00 a.m.,02/04/2012 12:00:00 a.m.,1,PRIMER NIVEL,NES,NAP,NO APLICA,2,URBANO,NES,NO ESPECIFICADO,20.5505,-102.508,3
JCSSA013762,SSA,SECRETARIA DE SALUD,1,ATOTONILCO EL ALTO,HO,UNIDAD DE HOSPITALIZACION,N,HOSPITAL INTEGRAL (COMUNITARIO),NES,NO ESPECIFICADO,14,JALISCO,13,ATOTONILCO EL ALTO,4,LA BARCA,JCSSA013762,4,6,HOSPITAL COMUNITARIO ATOTONILCO EL ALTO MADRE MARIA LUISITA DE LA PE NA NAVARRO,DE LA FRESA ESQUINA COLON,,FRACCIONAMIENTO EL VALLE,,SIN NUMERO,CALLE DE LA FRESA ESQUINA COLON SIN NUMERO  COL. FRACCIONAMIENTO EL VALLE,47750,DR. FRANCISCO JAVIER HERNANDEZ OROZCO,999,9999999,ortopediadrhdez@hotmail.com,05/01/2009 12:00:00 a.m.,,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1P,OBRA EN PROCESO O PENDIENTE DE ENTRAR EN OPERACION,EL GOBIERNO ESTATAL  NOS SOLICITA EL CAMBIO DEL NOMBRE DE LA UNIDAD (ANEXANDO COPIAS DE DICHA PETICION  FAVOR DE CHECARLO  HOJAS ADJUNTAS EN EL CORREO). OFICIO DEL GOBIERNO DEL ESTADO DIRIGIDO AL SECRETARIO DE SALUD DONDE SE AUTORIZA LA ASIGNACION DE NOM,22/03/2012 12:00:00 a.m.,28/05/2012 12:00:00 a.m.,2,SEGUNDO NIVEL,NES,2,NO ACREDITADA,2,URBANO,NES,NO ESPECIFICADO,20.5503,-102.508,4
JCSSA000532,SSA,SECRETARIA DE SALUD,30,SAN FRANCISCO DE ASIS,CE,UNIDAD DE CONSULTA EXTERNA,B,RURAL DE 02 NUCLEOS BASICOS,NES,NO ESPECIFICADO,14,JALISCO,13,ATOTONILCO EL ALTO,4,LA BARCA,JCSSA000532,1,0,CENTRO DE SALUD SAN FRANCISCO DE ASIS,16 DE SEPTIEMBRE,,CENTRO,,100,16 DE SEPTIEMBRE 100  COL. CENTRO,47755,ENF.MA. DEL ROSARIO PEREZ HERNANDEZ,391,9317787,faguzper@hotmail.com,15/06/1986 12:00:00 a.m.,15/06/1986 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,2,URBANO,NES,NO ESPECIFICADO,20.5976,-102.563,5
JCSSA000544,SSA,SECRETARIA DE SALUD,44,MARGARITAS,CE,UNIDAD DE CONSULTA EXTERNA,A,RURAL DE 01 NUCLEO BASICO,NES,NO ESPECIFICADO,14,JALISCO,13,ATOTONILCO EL ALTO,4,LA BARCA,JCSSA000544,1,4,CENTRO DE SALUD MARGARITAS,BELLAS ARTES,,CENTRO,,419,BELLAS ARTES 419  COL. CENTRO,47778,ENF. MA. ROSARIO SOTO SERRANO,391,9315399,faguzper@hotmail.com,01/08/1974 12:00:00 a.m.,01/08/1974 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,1,RURAL,NES,NO ESPECIFICADO,20.4512,-102.472,6
JCSSA000556,SSA,SECRETARIA DE SALUD,50,MILPILLAS,CE,UNIDAD DE CONSULTA EXTERNA,A,RURAL DE 01 NUCLEO BASICO,NES,NO ESPECIFICADO,14,JALISCO,13,ATOTONILCO EL ALTO,4,LA BARCA,JCSSA000556,1,3,CENTRO DE SALUD MILPILLAS,LEONA VICARIO,,CENTRO,,SIN NUMERO,LEONA VICARIO SIN NUMERO  COL. CENTRO,47755,ENF. RAMONA GARIBAY PALOMAR,391,9175253,faguzper@hotmail.com,01/08/2001 12:00:00 a.m.,01/08/2001 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,1,RURAL,NES,NO ESPECIFICADO,20.5031,-102.535,7
JCSSA000561,SSA,SECRETARIA DE SALUD,65,LA PURISIMA,CE,UNIDAD DE CONSULTA EXTERNA,A,RURAL DE 01 NUCLEO BASICO,NES,NO ESPECIFICADO,14,JALISCO,13,ATOTONILCO EL ALTO,4,LA BARCA,JCSSA000561,1,4,CENTRO DE SALUD LA PURISIMA,NICANDRA VAZQUEZ,,CENTRO,,SIN NUMERO,NICANDRA VAZQUEZ SIN NUMERO  COL. CENTRO,47750,ENF. MARIBEL ANDRADE VAZQUEZ,393,9175457,faguzper@hotmail.com,01/12/2000 12:00:00 a.m.,01/12/2000 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,1,RURAL,NES,NO ESPECIFICADO,20.6065,-102.466,8
JCSSA000573,SSA,SECRETARIA DE SALUD,78,SAN ANTONIO DE FERNANDEZ,CE,UNIDAD DE CONSULTA EXTERNA,A,RURAL DE 01 NUCLEO BASICO,NES,NO ESPECIFICADO,14,JALISCO,13,ATOTONILCO EL ALTO,4,LA BARCA,JCSSA000573,1,0,CENTRO DE SALUD SAN ANTONIO DE FERNANDEZ,SE NOR CURA GERARDO GONZALEZ,,CENTRO,,SIN NUMERO,SE NOR CURA GERARDO GONZALEZ S/N  COL. CENTRO,47767,ENF. ELVIA DE LA CRUZ GODINEZ,391,9114159,faguzper@hotmail.com,01/08/2004 12:00:00 a.m.,01/10/1974 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,1,RURAL,NES,NO ESPECIFICADO,20.5473,-102.616,9
JCSSA000585,SSA,SECRETARIA DE SALUD,101,EJIDO EL VALLE (LA PAZ DE MILPILLAS),CE,UNIDAD DE CONSULTA EXTERNA,A,RURAL DE 01 NUCLEO BASICO,NES,NO ESPECIFICADO,14,JALISCO,13,ATOTONILCO EL ALTO,4,LA BARCA,JCSSA000585,1,1,CENTRO DE SALUD EL VALLE,GUERRERO,,CENTRO,,1,GUERRERO 1  COL. CENTRO,47775,ENF. SOCORRO ISLAS RIVERA,391,9175130,faguzper@hotmail.com,01/10/1975 12:00:00 a.m.,01/10/1975 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,1,RURAL,NES,NO ESPECIFICADO,20.4898,-102.534,10
